Epoch,Control Model,Half Frozen Model,Finetuned Model
0,1.200485109,1.848093042,1.174773875
1,1.187764289,1.803113899,1.166860167
2,1.142301344,1.859927379,1.153344201
3,1.159838566,1.823502663,1.139511102
4,1.126041534,1.81246145,1.13985915
5,1.14042038,1.806738673,1.140723043
6,1.144389184,1.873633707,1.138732331
7,1.110885327,1.830455307,1.123921295
8,1.130508871,1.840544019,1.114289063
9,1.141530382,1.831472086,1.11538799
10,1.137394145,1.849129698,1.124914547
11,1.110695534,1.820203457,1.11824303
12,1.180973634,1.857872484,1.112253829
13,1.158124985,1.815796833,1.141899501
14,1.155747354,1.862550045,1.1181681
15,1.21230267,1.843635297,1.118591296
16,1.178686886,1.80985768,1.121092255
17,1.203856981,1.833229375,1.116921113
18,1.130161842,1.808774599,1.133158287
19,1.117100393,1.786091192,1.104263941
20,1.151880024,1.838323137,1.123352483
21,1.187881498,1.839237555,1.12704244
22,1.178843776,1.83457769,1.119058841
23,1.148107282,1.81175671,1.106362593
24,1.184316837,1.809375114,1.100826048
